Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
638161;1000528758171;63866408044416;0,122;1,201;0,628;0,159;-0,568;-0,103;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638181;1000528758271;63866408044416;0,122;1,201;0,628;0,159;-0,568;-0,103;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638201;1000528758371;63866408044416;0,122;1,201;0,628;0,159;-0,568;-0,103;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638221;1000528758471;63866408044416;0,122;1,201;0,628;0,159;-0,568;-0,103;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638261;1000528758671;63866408044949;0,115;1,218;0,597;0,282;-0,682;-0,139;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638281;1000528758771;63866408044949;0,115;1,218;0,597;0,282;-0,682;-0,139;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638301;1000528758871;63866408044949;0,115;1,218;0,597;0,282;-0,682;-0,139;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638321;1000528758971;63866408044949;0,115;1,218;0,597;0,282;-0,682;-0,139;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638341;1000528759071;63866408044949;0,115;1,218;0,597;0,282;-0,682;-0,139;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638361;1000528759171;63866408045019;0,143;1,246;0,545;-0,478;0,730;-0,009;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638381;1000528759271;63866408045124;0,153;1,259;0,533;-0,480;0,727;-0,030;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638401;1000528759371;63866408045225;0,159;1,278;0,520;-0,481;0,722;-0,050;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638421;1000528759472;63866408045325;0,166;1,292;0,507;-0,501;0,704;-0,077;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638441;1000528759572;63866408045426;0,170;1,303;0,490;-0,543;0,674;-0,090;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638461;1000528759672;63866408045527;0,161;1,328;0,470;-0,578;0,647;-0,115;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638481;1000528759772;63866408045627;0,151;1,363;0,446;0,616;-0,603;0,157;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638501;1000528759872;63866408045717;0,144;1,396;0,428;0,625;-0,578;0,198;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638521;1000528759972;63866408045817;0,135;1,422;0,417;0,625;-0,556;0,207;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638541;1000528760072;63866408045918;0,127;1,440;0,410;0,607;-0,548;0,195;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638561;1000528760172;63866408046017;0,129;1,458;0,399;0,582;-0,538;0,183;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
638581;1000528760272;63866408046118;0,130;1,466;0,388;0,545;-0,528;0,167;INVALID;;;;;;;;INVALID;;;;;;;;;;;INVALID;;;;;;;;;;;;;;;;;;;;
