Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
727242;1000529203738;63866408490075;0,093;1,599;0,511;0,091;-0,175;0,025;VALID;-0,135;-0,216;0,967;0,000;0,000;0,000;62,475;VALID;-0,129;-0,216;0,968;-0,030;0,000;0,000;0,387;4,873;12,604;0,681;VALID;-0,139;-0,216;0,966;0,030;0,000;0,000;0,387;5,175;13,389;0,756;2;0,3661352;0;;1;Nothing tracked;;;0;
727243;1000529203743;63866408490075;0,093;1,599;0,511;0,091;-0,175;0,025;VALID;-0,134;-0,216;0,967;0,000;0,000;0,000;62,475;VALID;-0,129;-0,216;0,968;-0,030;0,000;0,000;0,386;4,860;12,604;0,681;VALID;-0,139;-0,216;0,966;0,030;0,000;0,000;0,386;5,164;13,389;0,751;2;0,3697011;0;;1;Nothing tracked;;;0;
727244;1000529203748;63866408490075;0,093;1,599;0,511;0,091;-0,175;0,025;VALID;-0,133;-0,216;0,967;0,000;0,000;0,000;62,475;VALID;-0,128;-0,216;0,968;-0,030;0,000;0,000;0,384;4,845;12,604;0,681;VALID;-0,138;-0,216;0,967;0,030;0,000;0,000;0,385;5,153;13,389;0,752;2;0,3541368;0;;1;Nothing tracked;;;0;
727245;1000529203753;63866408490075;0,093;1,599;0,511;0,091;-0,175;0,025;VALID;-0,133;-0,216;0,967;0,000;0,000;0,000;62,475;VALID;-0,128;-0,216;0,968;-0,030;0,000;0,000;0,383;4,832;12,604;0,680;VALID;-0,138;-0,216;0,967;0,030;0,000;0,000;0,384;5,140;13,389;0,748;2;0,3584128;0;;1;Nothing tracked;;;0;
727246;1000529203758;63866408490075;0,093;1,599;0,511;0,091;-0,175;0,025;VALID;-0,132;-0,216;0,967;0,000;0,000;0,000;62,475;VALID;-0,127;-0,216;0,968;-0,030;0,000;0,000;0,382;4,815;12,604;0,680;VALID;-0,138;-0,216;0,967;0,030;0,000;0,000;0,382;5,116;13,389;0,746;2;0,4916788;0;;1;Nothing tracked;;;0;
727247;1000529203763;63866408490075;0,093;1,599;0,511;0,091;-0,175;0,025;VALID;-0,134;-0,218;0,967;0,000;0,000;0,000;62,475;VALID;-0,129;-0,218;0,967;-0,030;0,000;0,000;0,373;4,701;12,604;0,679;VALID;-0,139;-0,218;0,966;0,030;0,000;0,000;0,376;5,031;13,389;0,741;2;0,1053825;0;;1;Nothing tracked;;;0;
727248;1000529203768;63866408490075;0,093;1,599;0,511;0,091;-0,175;0,025;VALID;-0,136;-0,220;0,966;0,000;0,000;0,000;62,475;VALID;-0,132;-0,220;0,967;-0,030;0,000;0,000;0,374;4,716;12,604;0,677;VALID;-0,141;-0,219;0,965;0,030;0,000;0,000;0,374;5,013;13,389;0,730;2;0;0;;1;Nothing tracked;;;0;
727249;1000529203773;63866408490075;0,093;1,599;0,511;0,091;-0,175;0,025;VALID;-0,144;-0,225;0,964;0,000;0,000;0,000;62,475;VALID;-0,139;-0,226;0,964;-0,030;0,000;0,000;0,375;4,722;12,604;0,675;VALID;-0,151;-0,225;0,963;0,030;0,000;0,000;0,375;5,020;13,389;0,712;2;0;0;;1;Nothing tracked;;;0;
727250;1000529203778;63866408490075;0,093;1,599;0,511;0,091;-0,175;0,025;VALID;-0,153;-0,235;0,960;0,000;0,000;0,000;62,475;VALID;-0,146;-0,236;0,961;-0,030;0,000;0,000;0,375;4,721;12,604;0,674;VALID;-0,166;-0,235;0,958;0,030;0,000;0,000;0,372;4,983;13,389;0,703;2;0;0;;1;Nothing tracked;;;0;
727251;1000529203783;63866408490075;0,093;1,599;0,511;0,091;-0,175;0,025;VALID;-0,163;-0,245;0,956;0,000;0,000;0,000;62,475;VALID;-0,157;-0,246;0,957;-0,030;0,000;0,000;0,374;4,718;12,604;0,672;VALID;-0,173;-0,245;0,954;0,030;0,000;0,000;0,366;4,901;13,389;0,693;2;0;0;;1;Nothing tracked;;;0;
