Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
2147213;1000147223495;6,387878E+13;0,3905725;2,594424;0,07219879;0,1447554;0,05180614;0,007764082;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2147216;1000147223510;6,387878E+13;0,3902531;2,594651;0,07129558;0,1446011;0,05053954;0,005941482;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2147218;1000147223520;6,387878E+13;0,3890931;2,59471;0,07114109;0,1435113;0,04920027;0,003961284;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2147221;1000147223535;6,387878E+13;0,3887553;2,595174;0,07070436;0,1408448;0,04765172;0,002416811;VALID;-0,005260925;0,175215;0,9845161;0;0;0;62,7;VALID;0,002909785;0,1752167;0,9845256;-0,0311216;0;0;0,4525841;6,047968;13,36319;1;VALID;0;0;0;0;0;0;0;0;0;0;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2147223;1000147223545;6,387878E+13;0,3884384;2,59578;0,07041831;0,1372517;0,04608488;0,001595621;VALID;-0,00919294;0,1746498;0,9845877;0;0;0;62,7;VALID;-0,002059004;0,1746568;0,9846272;-0,0311216;0;0;0,4524645;6,04637;13,36319;1;VALID;0;0;0;0;0;0;0;0;0;0;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2147226;1000147223560;6,387878E+13;0,3880011;2,59677;0,07017953;0,1331875;0,04411433;0,0004264583;VALID;-0,01196567;0,1781032;0,9839391;0;0;0;62,7;VALID;-0,006092149;0,1781127;0,9839913;-0,0311216;0;0;0,432416;5,778458;13,36319;1;VALID;0;0;0;0;0;0;0;0;0;0;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2147228;1000147223570;6,387878E+13;0,3875217;2,597815;0,07007577;0,1278613;0,04211942;-0,001292204;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2147231;1000147223585;6,387878E+13;0,3870086;2,59914;0,07005548;0,1204563;0,04024705;-0,003075166;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2147233;1000147223595;6,387878E+13;0,3867861;2,600509;0,0700281;0,1129666;0,03887285;-0,004165854;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2147235;1000147223605;6,387878E+13;0,3862117;2,60223;0,0701616;0,1049906;0,0369073;-0,004917517;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
