Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
2108786;1000147031290;6,387878E+13;0,4906585;2,59615;-0,1111677;0,1125179;0,1635853;0,002678389;VALID;0,3881391;0,05305372;0,9200724;0;0;0;62,225;VALID;0,3880755;0,05289306;0,9201086;-0,0311216;0;0;0,4480655;5,616316;12,53458;0,8463507;VALID;0,3885247;0,0603587;0,9194593;0,0311216;0;0;0,4665942;5,930822;12,71088;0,9184954;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2108788;1000147031300;6,387878E+13;0,491951;2,596597;-0,1125491;0,1122126;0,1644915;0,002235697;VALID;0,3730316;0,05282745;0,9263135;0;0;0;62,225;VALID;0,3729845;0,05269638;0,9263399;-0,0311216;0;0;0,4493733;5,632708;12,53458;0,8348434;VALID;0,3732387;0,05880273;0,9258699;0,0311216;0;0;0,4659352;5,922445;12,71088;0,9214244;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2108790;1000147031310;6,387878E+13;0,4930762;2,597018;-0,1137199;0,1117574;0,1644463;0,001739405;VALID;0,3606378;0,05253902;0,931225;0;0;0;62,225;VALID;0,3606046;0,05242752;0,9312442;-0,0311216;0;0;0,4462253;5,593249;12,53458;0,8244528;VALID;0,3607455;0,05734087;0,9308999;0,0311216;0;0;0,4657073;5,919549;12,71088;0,9216483;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2108792;1000147031320;6,387878E+13;0,4942322;2,597409;-0,1149462;0,1113122;0,1659684;0,001438701;VALID;0,3497605;0,052579;0,9353625;0;0;0;62,225;VALID;0,3497371;0,05249295;0,9353761;-0,0311216;0;0;0,4408303;5,525625;12,53458;0,8167819;VALID;0,349816;0,05635361;0,935122;0,0311216;0;0;0,4650707;5,911458;12,71088;0,9207349;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2108795;1000147031335;6,387878E+13;0,4953135;2,597758;-0,116203;0,1109492;0,1662314;0,001276613;VALID;0,3357224;0,05390829;0,9404171;0;0;0;62,225;VALID;0,3357075;0,05387911;0,9404241;-0,0311216;0;0;0,4405048;5,521544;12,53458;0,8080713;VALID;0,3357429;0,05653074;0,9402558;0,0311216;0;0;0,4645792;5,90521;12,71088;0,9203755;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2108797;1000147031345;6,387878E+13;0,496543;2,598065;-0,1170658;0,1103956;0,1680312;0,001185997;VALID;0,3239002;0,05447669;0,9445215;0;0;0;62,225;VALID;0,3238871;0,05446239;0,9445269;-0,0311216;0;0;0,4397883;5,512563;12,53458;0,8061813;VALID;0,3239166;0,05662382;0,9443896;0,0311216;0;0;0,464497;5,904164;12,71088;0,9203331;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2108799;1000147031355;6,387878E+13;0,4975038;2,598551;-0,1180763;0,1101342;0,1684761;0,001100749;VALID;0,3147521;0,05446012;0,9476103;0;0;0;62,225;VALID;0,3147421;0,05444293;0,9476146;-0,0311216;0;0;0,4609555;5,777886;12,53458;0,8201537;VALID;0,314762;0,05622613;0,9475038;0,0311216;0;0;0,4645521;5,904866;12,71088;0,9203331;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2108801;1000147031365;6,387878E+13;0,498449;2,598938;-0,1190892;0,1095956;0,1702734;0,001099302;VALID;0,3055583;0,05460818;0,9506062;0;0;0;62,225;VALID;0,3055502;0,05459307;0,9506096;-0,0311216;0;0;0,4634967;5,809739;12,53458;0,8465797;VALID;0,3055651;0,05607614;0,9505185;0,0311216;0;0;0,4645602;5,904969;12,71088;0,9202888;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2108804;1000147031380;6,387878E+13;0,4995655;2,599159;-0,1204284;0,1092507;0,1718888;0,0009807255;VALID;0,2966101;0,05562252;0,9533774;0;0;0;62,225;VALID;0,2966046;0,05563467;0,9533784;-0,0311216;0;0;0,4655014;5,834867;12,53458;0,8780736;VALID;0,2966082;0,05691038;0,953302;0,0311216;0;0;0,4640855;5,898934;12,71088;0,92047;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
2108806;1000147031390;6,387878E+13;0,5006401;2,599644;-0,1214829;0,1092712;0,172892;0,0008865516;VALID;0,2918459;0,05538497;0,9548604;0;0;0;62,225;VALID;0,2918419;0,05538741;0,9548615;-0,0311216;0;0;0,4659385;5,840346;12,53458;0,8907759;VALID;0,2918429;0,05644377;0,9547994;0,0311216;0;0;0,4641504;5,89976;12,71088;0,9207675;2;0;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
