Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
1846300;1000145718383;6,387878E+13;0,3909826;2,648823;-0,04905141;0,04085133;0,02155747;-0,0003677899;VALID;-0,006990205;0,08045521;0,9967337;0;0;0;62,325;VALID;0,0116823;0,08045168;0,99669;-0,0311216;0;0;0;4,962188;0;0,9977807;VALID;-0,02554161;0,08043092;0,9964329;0,0311216;0;0;0;5,056612;0;0,9891033;2;0,8661826;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1846302;1000145718393;6,387878E+13;0,3909288;2,648747;-0,04903829;0,0409812;0,02150961;-0,0002601791;VALID;-0,006407794;0,08036958;0,9967445;0;0;0;62,325;VALID;0,01258981;0,08036485;0,996686;-0,0311216;0;0;0;4,976321;0;0,9975528;VALID;-0,02540623;0,08034528;0,9964433;0,0311216;0;0;0;5,064559;0;0,9889048;2;0,841724;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1846306;1000145718413;6,387878E+13;0,3909927;2,648693;-0,04956044;0,04110367;0,02147158;-7,911264E-05;VALID;-0,005602191;0,08032735;0,9967528;0;0;0;62,325;VALID;0,01407432;0,08032066;0,9966697;-0,0311216;0;0;0;4,997477;0;0,9971013;VALID;-0,02530099;0,0803029;0,9964494;0,0311216;0;0;0;5,082413;0;0,988342;2;0,8791193;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1846308;1000145718423;6,387878E+13;0,3909347;2,648621;-0,04956725;0,04140443;0,02127049;2,97414E-05;VALID;-0,005146069;0,08036008;0,9967526;0;0;0;62,325;VALID;0,01438422;0,08035284;0,9966627;-0,0311216;0;0;0;5,009736;0;0,9968976;VALID;-0,0247266;0,08033658;0,996461;0,0311216;0;0;0;5,092443;0;0,9881705;2;0,8799566;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1846311;1000145718438;6,387878E+13;0,3908653;2,648534;-0,04955488;0,04148546;0,02113793;0,0002534331;VALID;-0,004460786;0,08049364;0,9967452;0;0;0;62,375;VALID;0,01446521;0,08048602;0,9966508;-0,0311216;0;0;0;5,026525;0;0,9965028;VALID;-0,02339524;0,08047241;0,9964823;0,0311216;0;0;0;5,112771;0;0,9879087;2;0,8977429;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1846313;1000145718448;6,387878E+13;0,3907994;2,648489;-0,04953702;0,04161016;0,02093587;0,0003053835;VALID;-0,004184924;0,0805373;0,9967428;0;0;0;62,375;VALID;0,01455405;0,08052947;0,996646;-0,0311216;0;0;0;5,035983;0;0,9963844;VALID;-0,02290823;0,08051687;0,9964899;0,0311216;0;0;0;5,12396;0;0,9876583;2;0,8705586;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1846315;1000145718458;6,387878E+13;0,3907537;2,648445;-0,04952968;0,04167552;0,02069707;0,0003978138;VALID;-0,003826279;0,08067059;0,9967335;0;0;0;62,375;VALID;0,01468768;0,08066247;0,9966332;-0,0311216;0;0;0;5,043739;0;0,9960805;VALID;-0,0222878;0,08065114;0,9964932;0,0311216;0;0;0;5,127576;0;0,9874093;2;0,8861703;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1846317;1000145718468;6,387878E+13;0,3906886;2,648412;-0,04951878;0,04167226;0,0205602;0,0003544417;VALID;-0,003541921;0,08078106;0,9967256;0;0;0;62,375;VALID;0,01472378;0,08077281;0,9966238;-0,0311216;0;0;0;5,048208;0;0,9958119;VALID;-0,02169877;0,08076255;0,9964972;0,0311216;0;0;0;5,128537;0;0,9871371;2;0,8818664;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1846319;1000145718478;6,387878E+13;0,3906607;2,64841;-0,04950498;0,04176277;0,02035762;0,0002990563;VALID;-0,003183668;0,08095156;0,9967129;0;0;0;62,375;VALID;0,01514479;0,08094269;0,9966037;-0,0311216;0;0;0;5,051552;0;0,9954664;VALID;-0,02146108;0,08093333;0,9964885;0,0311216;0;0;0;5,130025;0;0,9867519;2;0,9238263;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1846322;1000145718493;6,387878E+13;0,3906114;2,648376;-0,04949611;0,04169646;0,02033134;0,0003019645;VALID;-0,003151806;0,08124997;0,9966888;0;0;0;62,375;VALID;0,01563455;0,08124045;0,9965719;-0,0311216;0;0;0;5,053185;0;0,9951562;VALID;-0,0219239;0,08123085;0,9964542;0,0311216;0;0;0;5,130578;0;0,9861746;2;0,9298898;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
1846324;1000145718503;6,387878E+13;0,3905886;2,648337;-0,0494795;0,04163727;0,0201925;0,0002370201;VALID;-0,003250122;0,08151535;0,9966668;0;0;0;62,375;VALID;0,01565678;0,08150579;0,9965499;-0,0311216;0;0;0;5,052805;0;0,9947619;VALID;-0,02213201;0,08149581;0,9964279;0,0311216;0;0;0;5,129718;0;0,9858362;2;0,9439893;Unknown;Unknown;Board;Board;Unknown;Unknown;Unknown
