Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
879351;1002180787196891937;6,387808E+13;0,3182943;2,780982;-0,03663676;0,09172598;-0,04640312;0,02381416;VALID;0,05517208;-0,1834065;0,9814877;0;0;0;61,85;VALID;0,06016529;-0,1833536;0,9812042;-0,0311216;0;0;0,5032923;6,50947;12,93378;0,7217949;VALID;0,02717238;-0,05096445;0,9983308;0,0311216;0;0;0,4933931;6,565175;13,30618;0,6426865;0,1083481;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879354;1002180787211897398;6,387808E+13;0,3182839;2,780636;-0,03580406;0,09312896;-0,04647265;0,02376944;VALID;0,05392116;-0,1865698;0,9809608;0;0;0;61,85;VALID;0,06055608;-0,1864987;0,9805872;-0,0311216;0;0;0,5025848;6,500319;12,93378;0,7487662;VALID;0,02823955;-0,1720381;0,9846854;0,0311216;0;0;0,492559;6,554077;13,30618;0,6684275;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879356;1002180787221901012;6,387808E+13;0,3181397;2,780217;-0,03403401;0,09521131;-0,04678588;0,02406409;VALID;0,05387362;-0,1891604;0,9804672;0;0;0;61,85;VALID;0,06150963;-0,1890768;0,9800339;-0,0311216;0;0;0,5018876;6,491302;12,93378;0,7710477;VALID;0,02998076;-0,186334;0,9820289;0,0311216;0;0;0,4920851;6,547771;13,30618;0,6808478;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879358;1002180787231897700;6,387808E+13;0,3180856;2,77976;-0,03298232;0,0969048;-0,04644743;0,02414458;VALID;0,05387947;-0,1923867;0,979839;0;0;0;61,85;VALID;0,0620069;-0,1922958;0,9793761;-0,0311216;0;0;0,5009578;6,479276;12,93378;0,786537;VALID;0,03236212;-0,1927427;0,9807155;0,0311216;0;0;0,4914126;6,538823;13,30618;0,6921168;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879360;1002180787241902096;6,387808E+13;0,3181573;2,779378;-0,03208071;0,0981405;-0,04648695;0,02401987;VALID;0,05372059;-0,1930473;0,9797177;0;0;0;61,85;VALID;0,06277394;-0,1929452;0,9791995;-0,0311216;0;0;0,5002271;6,469825;12,93378;0,7972327;VALID;0,03367128;-0,1934824;0,9805258;0,0311216;0;0;0,4909108;6,532146;13,30618;0,7005447;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879362;1002180787251906543;6,387808E+13;0,3180714;2,779055;-0,03094872;0,09944354;-0,04661637;0,02392489;VALID;0,05398367;-0,1926741;0,9797767;0;0;0;61,85;VALID;0,06401893;-0,1925596;0,9791948;-0,0311216;0;0;0,5000351;6,467342;12,93378;0,8048168;VALID;0,03545673;-0,1927944;0,9805984;0,0311216;0;0;0,4894318;6,512465;13,30618;0,7077684;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879365;1002180787266913195;6,387808E+13;0,3182471;2,778244;-0,02973637;0,1004738;-0,04673754;0,02382858;VALID;0,05452301;-0,1896466;0,9803374;0;0;0;61,85;VALID;0,06427985;-0,1895363;0,9797674;-0,0311216;0;0;0,4992943;6,457761;12,93378;0,8127646;VALID;0,03969277;-0,1887217;0,9812281;0,0311216;0;0;0,4878144;6,490944;13,30618;0,7137229;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879367;1002180787276917346;6,387808E+13;0,3181117;2,777926;-0,02864527;0,1015636;-0,04709155;0,02360944;VALID;0,05481563;-0,187613;0,9807123;0;0;0;61,85;VALID;0,0642628;-0,1875071;0,9801589;-0,0311216;0;0;0,4988924;6,452562;12,93378;0,8156092;VALID;0,0420149;-0,1861013;0,9816318;0,0311216;0;0;0,4864649;6,472988;13,30618;0,7167905;2;0,3577116;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879369;1002180787286921035;6,387808E+13;0,317854;2,777548;-0,02715027;0,1025977;-0,04741818;0,02344531;VALID;0,05516442;-0,1851128;0,9811677;0;0;0;61,85;VALID;0,0641851;-0,1850128;0,9806378;-0,0311216;0;0;0,4984246;6,446513;12,93378;0,8188733;VALID;0,04431406;-0,1827306;0,9821638;0,0311216;0;0;0,4849122;6,452328;13,30618;0,7188984;2;0,3997239;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879371;1002180787296924672;6,387808E+13;0,3176809;2,777163;-0,02588323;0,1039316;-0,04781292;0,02343961;VALID;0,05526446;-0,1827092;0,9816126;0;0;0;61,85;VALID;0,06434728;-0,1826097;0,9810776;-0,0311216;0;0;0,4982382;6,444101;12,93378;0,8203382;VALID;0,04484463;-0,1793381;0,9827649;0,0311216;0;0;0,4841492;6,442174;13,30618;0,720121;2;0,4484465;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879373;1002180787306920722;6,387808E+13;0,3176055;2,776502;-0,02502887;0,1049512;-0,0481997;0,02369559;VALID;0,05539295;-0,1801454;0,982079;0;0;0;61,85;VALID;0,06458557;-0,1800457;0,9815357;-0,0311216;0;0;0,4981424;6,442862;12,93378;0,8216981;VALID;0,04523449;-0,1745392;0,9836106;0,0311216;0;0;0,4832943;6,430799;13,30618;0,7215344;2;0,458021;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879376;1002180787321921037;6,387808E+13;0,3173849;2,776248;-0,02375034;0,1059508;-0,04849237;0,02412026;VALID;0,05579842;-0,1785056;0,9823555;0;0;0;61,85;VALID;0,06488632;-0,1784073;0,9818149;-0,0311216;0;0;0,4979907;6,4409;12,93378;0,8229436;VALID;0,04647231;-0,1714891;0,9840893;0,0311216;0;0;0,4818527;6,411617;13,30618;0,7231318;2;0,5080965;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879378;1002180787331925603;6,387808E+13;0,3171919;2,77589;-0,02245263;0,1068874;-0,04873545;0,02473369;VALID;0,0558306;-0,1767428;0,9826723;0;0;0;61,85;VALID;0,06501888;-0,1766443;0,9821249;-0,0311216;0;0;0,4978876;6,439567;12,93378;0,8228158;VALID;0,04640376;-0,1700782;0,9843374;0,0311216;0;0;0,4813955;6,405533;13,30618;0,7231875;2;0,5036068;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879380;1002180787341930136;6,387808E+13;0,316987;2,775562;-0,02117867;0,1078034;-0,04896441;0,02528167;VALID;0,0565524;-0,1736204;0,9831876;0;0;0;61,85;VALID;0,0658992;-0,1735207;0,982623;-0,0311216;0;0;0,5019405;6,491986;12,93378;0,8201911;VALID;0,04745179;-0,1683926;0,9845772;0,0311216;0;0;0,4812233;6,403243;13,30618;0,7208962;2;0,3180612;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879382;1002180787351934638;6,387808E+13;0,3168665;2,775088;-0,02046873;0,1087579;-0,04928551;0,02603811;VALID;0,0574271;-0,1707416;0,9836409;0;0;0;61,85;VALID;0,06771368;-0,1706313;0,9830055;-0,0311216;0;0;0,4997765;6,463997;12,93378;0,8061077;VALID;0,04767646;-0,1674858;0,984721;0,0311216;0;0;0,4855386;6,460662;13,30618;0,7010239;2;0,2912452;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879385;1002180787366940519;6,387808E+13;0,3166556;2,774789;-0,01917672;0,1095516;-0,04984333;0,02663503;VALID;0,06323431;-0,1247121;0,9901759;0;0;0;61,85;VALID;0,07154547;-0,124642;0,989619;-0,0311216;0;0;0,5139085;6,646778;12,93378;0,722423;VALID;0,05693633;-0,1349251;0,9892186;0,0311216;0;0;0,5875319;7,817802;13,30618;0,5994819;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879387;1002180787376944054;6,387808E+13;0,3164327;2,774543;-0,01786961;0,1104874;-0,05064999;0,0270924;VALID;0,06888417;-0,1449725;0,9870349;0;0;0;61,85;VALID;0,07466882;-0,1449121;0,986623;-0,0311216;0;0;0,4844539;6,265818;12,93378;0,6082461;VALID;0;0;0;0;0;0;0;0;0;0;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879389;1002180787386947538;6,387808E+13;0,3162255;2,774281;-0,01654822;0,1111064;-0,05166288;0,02731112;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879391;1002180787396944148;6,387808E+13;0,3160164;2,773996;-0,01524418;0,1119024;-0,05274304;0,02772202;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879393;1002180787406948552;6,387808E+13;0,3155003;2,774141;-0,01432293;0,1127656;-0,05387221;0,02819539;VALID;0,1720468;-0,4696022;0,8659525;0;0;0;61,85;VALID;0,1715773;-0,4696412;0,8660244;-0,0311216;0;0;0,4696387;6,074202;12,93378;0,3887321;VALID;0;0;0;0;0;0;0;0;0;0;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879396;1002180787421955491;6,387808E+13;0,3153198;2,773756;-0,01298792;0,1138644;-0,05528465;0,02865234;VALID;0,232372;-0,648401;0,7249685;0;0;0;61,85;VALID;0,2313298;-0,6485666;0,7251537;-0,0311216;0;0;0,3712547;4,801724;12,93378;0,3339172;VALID;0;0;0;0;0;0;0;0;0;0;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879398;1002180787431960116;6,387808E+13;0,3151492;2,773345;-0,01163452;0,1150891;-0,05674324;0,0291952;VALID;0,2694463;-0,6496331;0,7108977;0;0;0;61,85;VALID;0,2688505;-0,6497455;0,7110206;-0,0311216;0;0;0,3946514;5,104333;12,93378;0,3234097;VALID;0;0;0;0;0;0;0;0;0;0;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879400;1002180787441964410;6,387808E+13;0,3150405;2,772934;-0,01028395;0,1166166;-0,0582452;0,02965109;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879402;1002180787451968135;6,387808E+13;0,3147449;2,772834;-0,008763766;0,1179857;-0,05956689;0,02984554;VALID;0,2777741;-0,6366454;0,7193915;0;0;0;61,85;VALID;0,2776657;-0,6366662;0,7194149;-0,0311216;0;0;0,4240432;5,48448;12,93378;0,3054559;VALID;0;0;0;0;0;0;0;0;0;0;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879404;1002180787461971699;6,387808E+13;0,3147309;2,772402;-0,007311624;0,1192533;-0,0606097;0,02992962;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879407;1002180787476970261;6,387808E+13;0,3148125;2,771853;-0,005638808;0,1207762;-0,06154508;0,02996881;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879409;1002180787486974671;6,387808E+13;0,3147878;2,771238;-0,003241086;0,1225469;-0,06207356;0,02997631;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879411;1002180787496979457;6,387808E+13;0,3155371;2,769917;-0,003373924;0,1250498;-0,0623569;0,02963721;INVALID;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;INVALID;0;0;0;0;0;0;0;0;0;0;0;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879413;1002180787506984210;6,387808E+13;0,3158613;2,769248;-0,001946381;0,1277188;-0,06252944;0,02898441;VALID;0,2744445;-0,2873073;0,917679;0;0;0;61,85;VALID;0,2739624;-0,2873484;0,9178101;-0,0311216;0;0;0,3601733;4,658401;12,93378;0,4746717;VALID;0;0;0;0;0;0;0;0;0;0;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879415;1002180787516988901;6,387808E+13;0,3155574;2,768579;0,001989418;0,1302487;-0,062245;0,02790488;VALID;0,1612366;0,04963959;0,9856666;0;0;0;61,85;VALID;0,1659847;0,04959998;0,9848801;-0,0311216;0;0;0,3769497;4,875383;12,93378;0,586823;VALID;0,02659008;0,140683;0,9896976;0,0311216;0;0;0,4680002;6,227293;13,30618;0,4782906;0,3115736;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
879418;1002180787531995026;6,387808E+13;0,3159702;2,767744;0,003480637;0,1332023;-0,06129485;0,02715795;VALID;0,01319964;0,1963098;0,9804531;0;0;0;61,85;VALID;0,0176182;0,1962965;0,9803863;-0,0311216;0;0;0,4948104;6,399767;12,93378;0,7131947;VALID;0,04570279;0,09784801;0,9941514;0,0311216;0;0;0,4802727;6,390593;13,30618;0,601759;2;0;Unknown;Unknown;board;board;Unknown;Unknown;Unknown
879420;1002180787541998508;6,387808E+13;0,3162773;2,766482;0,005354455;0,136535;-0,06056887;0,0265526;VALID;-0,01663739;0,2086745;0,9778436;0;0;0;61,85;VALID;-0,01365359;0,2086839;0,9778878;-0,0311216;0;0;0,4906425;6,34586;12,93378;0,7759788;VALID;0,01936798;0,1820468;0,9830991;0,0311216;0;0;0,4833736;6,431854;13,30618;0,6678321;2;0;Unknown;Unknown;board;board;Unknown;Unknown;Unknown
879422;1002180787551993663;6,387808E+13;0,3166592;2,765585;0,006824447;0,1398071;-0,05962099;0,02597021;VALID;-0,02017562;0,2130641;0,9768299;0;0;0;61,85;VALID;-0,0160732;0,2130799;0,9769025;-0,0311216;0;0;0,485535;6,2798;12,93378;0,8197454;VALID;-0,0002772359;0,2054116;0,9786756;0,0311216;0;0;0,4788429;6,371569;13,30618;0,7157316;2;0;Unknown;Unknown;board;board;Unknown;Unknown;Unknown
879425;1002180787566992967;6,387808E+13;0,3169018;2,764846;0,007652561;0,1426758;-0,05880073;0,02558901;VALID;-0,02574097;0,2091106;0,9775531;0;0;0;61,85;VALID;-0,02184996;0,20913;0,9776437;-0,0311216;0;0;0,4794965;6,201701;12,93378;0,8622144;VALID;-0,01840299;0,2078492;0,9779878;0,0311216;0;0;0,4643148;6,178254;13,30618;0,7759064;2;0;Unknown;Unknown;board;wall4 (19);Unknown;Unknown;Unknown
