Frame;TimeStamp;LogTime;HeadPositionX;HeadPositionY;HeadPositionZ;HeadDirectionX;HeadDirectionY;HeadDirectionZ;GazeStatus;CombinedGazeForwardX;CombinedGazeForwardY;CombinedGazeForwardZ;CombinedGazePositionX;CombinedGazePositionY;CombinedGazePositionZ;InterPupillaryDistanceInMM;LeftEyeStatus;LeftGazeDirectionX;LeftGazeDirectionY;LeftGazeDirectionZ;LeftEyePositionX;LeftEyePositionY;LeftEyePositionZ;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;LeftEyeOpenness;RightEyeStatus;RightGazeDirectionX;RightGazeDirectionY;RightGazeDirectionZ;RightEyePositionX;RightEyePositionY;RightEyePositionZ;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;RightEyeOpenness;FocusDistance;FocusStability;Condition;Scene;Task;GazedObject;ClickedObject;QuizAnswer;ChatBot
1446920;1000143720756;6,387878E+13;0,2502792;2,36269;0,1474855;0,2376023;-0,2818892;0,06125673;VALID;-0,2136847;0,01596761;0,9767722;0;0;0;62,125;VALID;-0,2026653;0,01600595;0,9791173;-0,0311216;0;0;0,4286545;5,587435;13,03482;0,7668502;VALID;-0,2256213;0,01592368;0,974085;0,0311216;0;0;0,4366214;5,641302;12,92035;0,726215;2;0;Unknown;Unknown;Board;Wall;Unknown;Unknown;Unknown
1446922;1000143720766;6,387878E+13;0,2502792;2,36269;0,1474855;0,2379238;-0,2848714;0,0602635;VALID;-0,2128258;0,0217918;0,9768471;0;0;0;62,125;VALID;-0,1980816;0,02186084;0,9799417;-0,0311216;0;0;0,4286219;5,58701;13,03482;0,7716594;VALID;-0,2249618;0,02173108;0,9741252;0,0311216;0;0;0,4361482;5,635189;12,92035;0,7340991;2;0;Unknown;Unknown;Board;Wall;Unknown;Unknown;Unknown
1446924;1000143720776;6,387878E+13;0,2502792;2,36269;0,1474855;0,2381174;-0,2872934;0,05937514;VALID;-0,2108854;0,02416618;0,977212;0;0;0;62,125;VALID;-0,1932925;0,02425593;0,9808413;-0,0311216;0;0;0,428194;5,581433;13,03482;0,7745237;VALID;-0,2237289;0,02409549;0,9743536;0,0311216;0;0;0,4398769;5,683365;12,92035;0,7442266;2;0;Unknown;Unknown;Board;Wall;Unknown;Unknown;Unknown
1446926;1000143720786;6,387878E+13;0,2502792;2,36269;0,1474855;0,2381223;-0,2894742;0,0586776;VALID;-0,2074181;0,02480983;0,9779377;0;0;0;62,125;VALID;-0,1871633;0,02491321;0,9820129;-0,0311216;0;0;0,4278417;5,57684;13,03482;0,7766649;VALID;-0,2228341;0,0247237;0,9745428;0,0311216;0;0;0,4407675;5,694871;12,92035;0,7545779;2;0;Unknown;Unknown;Board;Wall;Unknown;Unknown;Unknown
1446928;1000143720796;6,387878E+13;0,2502792;2,36269;0,1474855;0,2380487;-0,2919416;0,05813701;VALID;-0,2024923;0,02507755;0,9789627;0;0;0;62,125;VALID;-0,180962;0,02518526;0,9831676;-0,0311216;0;0;0,4278085;5,576408;13,03482;0,7766383;VALID;-0,2208019;0,02497601;0,9749988;0,0311216;0;0;0,4408758;5,696271;12,92035;0,7636348;2;0;Unknown;Unknown;Board;Wall;Unknown;Unknown;Unknown
1446931;1000143720811;6,387878E+13;0,2502792;2,36269;0,1474855;0,2378769;-0,2940227;0,05778196;VALID;-0,1932723;0,02655379;0,9807858;0;0;0;62,125;VALID;-0,1728429;0,02665675;0,9845886;-0,0311216;0;0;0,4279129;5,577768;13,03482;0,7761585;VALID;-0,2132866;0,02644133;0,9766318;0,0311216;0;0;0,4399592;5,684429;12,92035;0,7746779;2;0,05640906;Unknown;Unknown;Board;Wall;Unknown;Unknown;Unknown
1446933;1000143720821;6,387878E+13;0,2502792;2,36269;0,1474855;0,2376509;-0,2960537;0,05732412;VALID;-0,1868916;0,02708646;0,9820071;0;0;0;62,125;VALID;-0,1689114;0,02717609;0,9852565;-0,0311216;0;0;0,4279433;5,578164;13,03482;0,7754084;VALID;-0,2053955;0,0269844;0,9783069;0,0311216;0;0;0,4382188;5,661942;12,92035;0,7833764;2;0,1022153;Unknown;Unknown;Board;Wall;Unknown;Unknown;Unknown
1446935;1000143720831;6,387878E+13;0,2502792;2,36269;0,1474855;0,2374141;-0,2981076;0,05670273;VALID;-0,1804969;0,02754561;0,9831898;0;0;0;62,125;VALID;-0,1641882;0,02762553;0,9860421;-0,0311216;0;0;0,4279168;5,577819;13,03482;0,7749761;VALID;-0,1974613;0,02745418;0,9799262;0,0311216;0;0;0,4372622;5,649582;12,92035;0,7872529;2;0,3275646;Unknown;Unknown;Board;Wall;Unknown;Unknown;Unknown
1446937;1000143720841;6,387878E+13;0,2502792;2,36269;0,1474855;0,2371311;-0,3000259;0,05603876;VALID;-0,1739685;0,02780795;0,9843585;0;0;0;62,125;VALID;-0,1586237;0,02788102;0,9869454;-0,0311216;0;0;0,4277835;5,576082;13,03482;0,7745638;VALID;-0,1898695;0,02772487;0,9814178;0,0311216;0;0;0,43668;5,64206;12,92035;0,7951628;2;0,4016244;Unknown;Unknown;Board;Wall;Unknown;Unknown;Unknown
1446940;1000143720856;6,387878E+13;0,2502792;2,36269;0,1474855;0,2368352;-0,3019149;0,05540658;VALID;-0,166828;0,02792559;0,9855905;0;0;0;62,125;VALID;-0,1520244;0,0279933;0,9879802;-0,0311216;0;0;0,4275368;5,572865;13,03482;0,7741858;VALID;-0,1819575;0,02784969;0,9829119;0,0311216;0;0;0,4350091;5,620471;12,92035;0,8049918;2;0,2926942;Unknown;Unknown;Board;Wall;Unknown;Unknown;Unknown
